bits_p,bits_q,bits_N,p,q,N,delta,delta_bits,gap,rel_gap
48,48,96,201382684429127,201382685477713,40554985799048413792686546551,1048576,20,1048586,5.2069322655149766e-09
48,48,96,224267005390487,224267006439071,50295689941979518695728517577,1048576,20,1048584,4.6756052934441e-09
48,48,95,196170327787123,196170328835717,38482797709810310913615072191,1048576,20,1048594,5.345324183458362e-09
48,48,95,185463229937771,185463230986361,34396609853425405604979741331,1048576,20,1048590,5.653896987491949e-09
48,48,96,268078809010057,268078810058641,71866248121353768031328752537,1048576,20,1048584,3.911476635625856e-09
48,48,96,264716640607259,264716641655839,70074900091969299556243135301,1048576,20,1048580,3.961141224510007e-09
48,48,95,171106619202151,171106620250759,29277475314213679064132182609,1048576,20,1048608,6.128389431550868e-09
48,48,96,249798957803413,249798958852013,62399519581610495678613320369,1048576,20,1048600,4.197775711395619e-09
48,48,95,154908211877161,154908228654419,23996556705914441289147824459,16777216,24,16777258,1.08304504249121e-07
48,48,96,205245834293363,205245851070607,42125855938238065208864481341,16777216,24,16777244,8.174218673941793e-08
48,48,96,241457500541723,241457517318973,58301728618849013802086010479,16777216,24,16777250,6.948323982270379e-08
48,48,96,228380896983313,228380913760529,52157837938498263906591052577,16777216,24,16777216,7.346155306932564e-08
48,48,95,166221250816151,166221267593383,27629507011618267756357128833,16777216,24,16777232,1.00933130216107e-07
48,48,96,255033064940461,255033081717683,65041868491671745536005871863,16777216,24,16777222,6.578449524604275e-08
48,48,96,222353749041103,222353765818319,49441193443110689364361365857,16777216,24,16777216,7.545281084491462e-08
48,48,96,246611062617971,246611079395201,60817020343015331658393757171,16777216,24,16777230,6.803113068493164e-08
48,48,95,185706553249489,185706570026707,34486927035444621360364102723,16777216,24,16777218,9.034262361011881e-08
48,48,95,164285708643911,164285725421137,26989796820890475951645746807,16777216,24,16777226,1.0212224350993701e-07
48,48,95,149717018680357,149717287115813,22415225871890547315887185241,268435456,28,268435456,1.7929505791686837e-06
48,48,95,187422036345559,187422304781017,35127070018636204508435453503,268435456,28,268435458,1.432250289244327e-06
48,48,95,171176157949759,171176426385221,29301323000191883922898111739,268435456,28,268435462,1.5681813094621062e-06
48,48,96,234265495084507,234265763519971,54880385072356045578427189297,268435456,28,268435464,1.1458593597344178e-06
48,48,95,155624546409467,155624814844937,24219041220300607083713818579,268435456,28,268435470,1.7248900940277938e-06
48,48,96,227269167597631,227269436033177,51651335547643181479502603687,268435456,28,268435546,1.181134204469372e-06
48,48,95,147117396236179,147117664671673,21643567766843829647999057467,268435456,28,268435494,1.8246329527953832e-06
48,48,95,164371585529033,164371853964511,27018062252493341838342147863,268435456,28,268435478,1.6331001367731396e-06
48,48,96,226475352212401,226475620647863,51291145953746889274002749063,268435456,28,268435462,1.1852738070301479e-06
48,48,96,221533655970941,221533924406401,49077220195340089022730393341,268435456,28,268435460,1.2117133904107094e-06
48,48,95,160713861994867,160718156962163,25829635698086437303819217321,4294967296,32,4294967296,2.672395432365175e-05
48,48,95,179848788850799,179853083818159,32346359295777132400697859041,4294967296,32,4294967360,2.388070614388449e-05
48,48,95,182747680846673,182751975814003,33397499750156323381409362019,4294967296,32,4294967330,2.350189529334586e-05
48,48,96,275427852432907,275432147400211,75861684849424004711355143377,4294967296,32,4294967304,1.559368008362088e-05
48,48,96,280945700389301,280949995356623,78931693219837312513428690523,4294967296,32,4294967322,1.5287418482264197e-05
48,48,96,276158705831993,276163000799369,76264816899433391381214412417,4294967296,32,4294967376,1.5552412025683655e-05
48,48,96,281264725388497,281269020355907,79111053770695755081783801779,4294967296,32,4294967410,1.5270079146777695e-05
48,48,96,229427638694647,229431933661967,52638026781211983666430390649,4294967296,32,4294967320,1.8720181854897447e-05
48,48,95,179149548827719,179153843795027,32095330286630732129971953413,4294967296,32,4294967308,2.397391370966277e-05
48,48,95,168043825845809,168048120813107,28239449147633223431088218563,4294967296,32,4294967298,2.5558287492734597e-05
48,48,95,172956327009001,173025046485803,29925776520746142968999712803,68719476736,36,68719476802,0.00039724380225079583
48,48,96,235218020297633,235286739774377,55343681132013302892807149641,68719476736,36,68719476744,0.0002921095950929154
48,48,95,182556681202943,182625400679699,33339487051443540209159154157,68719476736,36,68719476756,0.0003763573372409012
48,48,96,235418415143449,235487134620187,55438008018956444517736204963,68719476736,36,68719476738,0.0002918609793586322
48,48,96,209758912955569,209827632432317,44013216087043508454820723373,68719476736,36,68719476748,0.00032755806126301445
48,48,96,249509830746101,249578550222847,62272301823959822985826369547,68719476736,36,68719476746,0.00027537999287419136
48,48,95,185428662234883,185497381711661,34396531338866750536162070663,68719476736,36,68719476778,0.00037052926899483105
48,48,95,184935057313819,185003776790669,34213684064055348811803954911,68719476736,36,68719476850,0.0003715180548805094
48,48,95,142825857405449,142894576882249,20409040461796064814723974801,68719476736,36,68719476800,0.0004810259998302787
48,48,96,200574175450393,200642894927147,40243783209992350003647518771,68719476736,36,68719476754,0.0003425551046335748
48,48,96,264327010184131,265426521811951,70159398934126040984266349581,1099511627776,40,1099511627820,0.004151039793555331
48,48,96,224924825126189,226024336754057,50838484418669123795682698773,1099511627776,40,1099511627868,0.004876447232060187
48,48,96,213011318947949,214110830575819,45608030421996051852959045231,1099511627776,40,1099511627870,0.005148481633019634
48,48,96,222015312027077,223114823654903,49534907191609549954839808531,1099511627776,40,1099511627826,0.004940195659443556
48,48,96,259816390634233,260915902262011,67790227984790007599632022563,1099511627776,40,1099511627778,0.004222953305449
48,48,96,233967243611489,235066755239291,54997920788033455639231814299,1099511627776,40,1099511627802,0.004688421954821144
48,48,95,145708596474173,146808108101981,21391203382568317371716636713,1099511627776,40,1099511627808,0.007517652003831916
48,48,96,261386895642001,262486407269831,68610507144483088218383771831,1099511627776,40,1099511627830,0.004197633448422307
48,48,95,191785749980009,192885261607807,36992644557543502085448330263,1099511627776,40,1099511627798,0.005716657019609272
48,48,95,179962647325523,181062158953343,32584425455718252947890073389,1099511627776,40,1099511627820,0.006091086860818656
